id,rate,reviewer,reviewee
1,4,1,41
2,5,2,42
3,3,3,43
4,2,4,44
5,5,5,45
6,4,6,46
7,3,7,47
8,5,8,48
9,2,9,49
10,4,10,50
11,5,11,51
12,3,12,52
13,4,13,53
14,2,14,54
15,5,15,55
16,3,16,56
17,4,17,57
18,5,18,58
19,2,19,59
20,3,20,60
21,4,21,61
22,5,22,62
23,3,23,63
24,2,24,64
25,5,25,65
26,4,26,66
27,3,27,67
28,5,28,68
29,2,29,69
30,4,30,70
31,5,31,71
32,3,32,72
33,4,33,73
34,2,34,74
35,5,35,75
36,3,36,76
37,4,37,77
38,5,38,78
39,2,39,79
40,3,40,80
41,4,1,42
42,5,2,43
43,3,3,44
44,2,4,45
45,5,5,46
46,4,6,47
47,3,7,48
48,5,8,49
49,2,9,50
50,4,10,51
51,5,11,52
52,3,12,53
53,4,13,54
54,2,14,55
55,5,15,56
56,3,16,57
57,4,17,58
58,5,18,59
59,2,19,60
60,3,20,61
61,4,21,62
62,5,22,63
63,3,23,64
64,2,24,65
65,5,25,66
66,4,26,67
67,3,27,68
68,5,28,69
69,2,29,70
70,4,30,71
71,5,31,72
72,3,32,73
73,4,33,74
74,2,34,75
75,5,35,76
76,3,36,77
77,4,37,78
78,5,38,79
79,2,39,80
80,3,40,41
